Employee ID,Name,Department,Job Role,Performance Score,KPI Score,Attendance (%),Peer Rating,Task Completion (%),Work Hours Logged,Manager Feedback,Training Hours,Promotion Eligibility,EngagementScore,Engagement_Category
853352,Lakshay Rout,HR,HR Manager,86,94.22,92.13,3.8,94.42,45,4.7,17,Yes,90.17,HIGH
972885,Ishita Dhillon,Marketing,Marketing Executive,70,64.1,85.82,4.9,79.79,53,3.4,11,No,80.71,HIGH
692055,Hazel Choudhary,HR,Recruitment Specialist,96,76.86,78.28,4.5,98.51,41,3.5,23,No,84.9,HIGH
691847,Eva Khanna,Marketing,Marketing Executive,82,65.76,95.83,3.2,88.84,55,4.0,28,No,81.19,HIGH
325523,Mishti Krishnan,IT,Software Engineer,88,62.97,81.47,3.8,74.39,36,3.4,3,No,73.71,MEDIUM
529211,Kiaan Dutta,IT,Cybersecurity Specialist,73,91.15,90.92,4.7,85.23,52,4.8,19,No,90.87,HIGH
748631,Onkar Rama,HR,HR Manager,66,94.05,83.04,3.8,85.8,46,4.2,17,No,83.75,HIGH
352450,Mishti Chacko,IT,Cybersecurity Specialist,73,94.97,96.7,3.5,81.31,39,3.8,7,No,82.43,HIGH
597949,Shaan Basu,HR,HR Manager,97,79.07,86.59,3.1,90.24,39,4.2,27,Yes,81.5,HIGH
538851,Alia Sidhu,Sales,Business Development,89,77.14,99.3,4.9,84.05,38,3.4,15,No,85.99,HIGH
982166,Rohan Bala,Finance,Accountant,97,76.97,95.4,3.5,70.93,48,4.2,15,Yes,78.86,HIGH
891328,Nishith Koshy,IT,Data Analyst,64,84.34,97.17,3.3,92.24,46,4.9,26,No,88.34,HIGH
976367,Nishith Kibe,Finance,Financial Analyst,75,74.44,87.56,4.2,85.01,50,3.5,27,No,81.26,HIGH
968990,Badal Mani,HR,Employee Relations,65,64.87,90.97,3.2,86.54,50,4.6,17,No,81.84,HIGH
675019,Devansh Chander,Finance,Auditor,50,92.85,75.92,3.1,95.35,52,3.8,6,No,80.67,HIGH
326885,Kiaan Goswami,IT,Cybersecurity Specialist,69,71.13,96.81,4.8,75.48,48,4.8,5,No,87.52,HIGH
803681,Vritika Kala,Sales,Account Manager,51,79.04,76.3,3.5,87.92,53,3.5,8,No,77.54,HIGH
525050,Mahika Saxena,Marketing,Marketing Executive,55,71.99,98.29,4.9,97.9,37,3.6,25,No,90.23,HIGH
603407,Kavya Shah,HR,Employee Relations,56,75.28,76.55,4.3,95.42,41,3.1,30,No,81.06,HIGH
211921,Pari Zacharia,HR,Employee Relations,62,75.99,83.45,5.0,94.67,39,4.9,14,No,92.29,HIGH
582539,Ira Iyengar,HR,HR Manager,69,89.6,77.11,4.9,89.4,45,4.9,16,No,90.4,HIGH
713340,Tanya Taneja,Finance,Financial Analyst,100,86.58,75.08,3.6,70.37,50,4.0,3,No,75.18,HIGH
162959,Tiya Mannan,Sales,Account Manager,99,70.02,79.34,3.4,96.43,38,3.4,14,No,79.0,HIGH
692057,Vritika Verma,Marketing,Content Strategist,52,66.63,91.34,3.2,99.5,43,4.8,8,No,86.78,HIGH
886392,Heer Kale,Finance,Accountant,87,81.62,75.18,3.9,87.27,46,4.2,4,Yes,81.78,HIGH
311713,Shanaya Krishnan,Finance,Financial Analyst,69,60.63,90.4,4.3,89.77,51,3.9,17,No,83.87,HIGH
420151,Anya Wadhwa,Finance,Auditor,60,87.52,97.52,3.9,70.66,51,4.6,8,No,83.45,HIGH
690698,Devansh Tandon,Marketing,Marketing Executive,66,73.3,82.1,3.8,81.2,38,4.4,2,No,80.91,HIGH
978856,Vritika Walla,Sales,Account Manager,65,93.11,84.62,4.3,91.25,39,3.7,13,No,85.61,HIGH
171922,Mohanlal Kari,Marketing,SEO Specialist,77,73.74,88.29,3.3,99.22,42,4.1,13,No,84.4,HIGH
978968,Kiaan Bora,Marketing,Content Strategist,86,79.1,98.03,4.0,99.26,52,4.1,22,Yes,89.69,HIGH
560366,Siya Ramakrishnan,HR,Recruitment Specialist,83,91.48,96.91,4.8,97.58,49,3.4,14,No,90.6,HIGH
168956,Kaira Golla,Finance,Accountant,92,72.69,99.03,4.1,98.73,54,4.5,10,Yes,91.09,HIGH
654455,Aarna Saxena,IT,Software Engineer,71,62.39,75.49,4.6,80.84,38,3.1,5,No,76.39,HIGH
727177,Siya Brar,Finance,Auditor,53,61.01,93.18,4.7,84.28,50,3.2,12,No,81.62,HIGH
553994,Jayan Bora,Sales,Account Manager,75,69.36,87.12,4.8,82.27,44,4.4,0,No,85.84,HIGH
474749,Seher Hora,IT,Data Analyst,73,88.58,78.42,3.8,72.05,52,4.8,16,No,80.56,HIGH
404381,Anahi Bakshi,Marketing,Content Strategist,83,86.51,78.79,4.9,99.48,43,4.2,19,No,90.65,HIGH
149475,Nitara Dhaliwal,Finance,Financial Analyst,67,62.85,76.6,3.8,71.82,52,3.2,24,No,71.15,MEDIUM
165487,Lakshit Kibe,HR,Recruitment Specialist,85,73.57,85.75,3.8,71.09,51,3.9,2,No,76.63,HIGH
618249,Pihu Sane,Marketing,SEO Specialist,64,79.48,98.75,4.6,89.46,44,4.0,21,No,88.94,HIGH
132554,Aaryahi Krishna,Finance,Accountant,92,89.37,95.72,4.8,70.93,45,3.9,3,No,84.16,HIGH
995697,Divit Kata,Sales,Business Development,52,60.46,92.52,4.6,87.16,49,3.5,18,No,83.1,HIGH
709737,Saanvi Chatterjee,Sales,Business Development,58,66.35,77.4,3.9,71.62,42,4.0,15,No,75.2,HIGH
292420,Baiju Chaudhuri,Marketing,Content Strategist,61,84.44,84.67,4.6,79.94,44,3.4,20,No,81.36,HIGH
549479,Lakshay Seshadri,HR,Employee Relations,69,73.67,89.24,4.3,72.27,41,3.3,16,No,77.3,HIGH
925538,Hridaan Gour,Finance,Accountant,73,73.41,95.83,4.0,97.73,37,3.7,18,No,86.63,HIGH
948763,Darshit Baral,HR,HR Manager,91,93.43,88.25,4.4,97.58,50,3.6,19,No,88.27,HIGH
314725,Miraya Mani,IT,Software Engineer,89,92.41,96.04,3.5,93.89,44,3.7,7,No,85.42,HIGH
429616,Vivaan Shan,Marketing,Marketing Executive,100,76.05,83.95,4.1,73.2,50,4.1,23,Yes,79.16,HIGH
774009,Mamooty Bakshi,Finance,Accountant,59,61.11,78.26,3.0,96.55,35,3.1,12,No,75.13,HIGH
317578,Jivika Bhalla,HR,Recruitment Specialist,60,92.2,96.47,4.0,99.65,45,4.3,29,No,91.61,HIGH
306725,Divyansh Goyal,Sales,Account Manager,68,91.06,84.69,3.5,76.79,46,3.2,13,No,75.88,HIGH
485549,Bhavin Setty,HR,Recruitment Specialist,65,67.41,94.3,4.4,79.77,47,3.0,30,No,79.13,HIGH
331817,Yuvaan Mani,Sales,Business Development,68,79.92,99.5,4.6,82.04,54,3.4,11,No,84.5,HIGH
114099,Advik Sinha,Marketing,Marketing Executive,85,93.7,77.04,3.1,70.18,48,4.6,26,No,76.63,HIGH
139080,Devansh Kothari,HR,Employee Relations,100,92.56,93.63,4.0,94.87,50,3.8,2,No,87.64,HIGH
305887,Inaaya  Sha,Finance,Accountant,81,80.86,75.29,3.3,79.25,40,4.2,29,No,76.92,HIGH
639096,Aniruddh Mangal,Sales,Account Manager,97,83.83,82.95,5.0,82.2,53,4.7,29,Yes,88.43,HIGH
262442,Divyansh Chandran,HR,Recruitment Specialist,93,89.27,77.43,3.9,80.2,41,3.4,30,No,77.67,HIGH
710432,Trisha Dara,HR,Employee Relations,65,61.39,88.39,4.8,99.38,35,5.0,2,No,92.83,HIGH
438030,Mishti Ravi,Finance,Accountant,87,84.58,97.31,4.6,74.96,52,4.4,6,Yes,86.41,HIGH
967292,Neysa Chawla,Marketing,Content Strategist,67,89.39,87.22,4.2,97.04,41,3.0,30,No,84.29,HIGH
840198,Nirvaan Bali,IT,Cybersecurity Specialist,71,74.32,89.62,4.1,87.45,53,3.7,22,No,82.79,HIGH
158146,Divit Bhalla,IT,Software Engineer,73,94.09,84.21,3.6,74.29,52,4.0,5,No,78.94,HIGH
741554,Purab Srinivas,Marketing,Content Strategist,70,83.44,92.82,4.5,80.9,39,3.2,9,No,81.98,HIGH
594881,Vihaan Goda,IT,Software Engineer,95,66.14,93.46,3.3,92.86,35,4.0,20,No,82.36,HIGH
794196,Indrans Bal,HR,Recruitment Specialist,69,88.67,96.95,3.4,78.69,39,3.5,10,No,79.46,HIGH
731647,Raunak Kothari,Finance,Auditor,51,67.04,88.21,3.3,70.57,40,3.4,9,No,72.32,MEDIUM
818673,Yasmin Rastogi,Marketing,SEO Specialist,74,74.62,87.29,4.7,78.31,53,4.4,9,No,84.81,HIGH
336865,Manikya Choudhary,Sales,Account Manager,89,66.98,79.44,4.1,93.99,49,4.9,25,Yes,86.78,HIGH
129211,Raunak Sodhi,Finance,Accountant,55,63.76,78.07,4.4,96.11,43,3.3,29,No,81.62,HIGH
395943,Ivan Mallick,Marketing,SEO Specialist,100,77.85,98.96,4.9,99.4,54,4.4,28,Yes,94.6,HIGH
675021,Damini Bala,Marketing,Marketing Executive,53,91.27,92.06,4.3,73.77,49,4.7,27,No,85.67,HIGH
887129,Samar Sanghvi,IT,Software Engineer,85,89.12,99.83,4.3,89.43,39,3.6,27,No,87.31,HIGH
830319,Keya Brar,Marketing,Marketing Executive,95,81.37,88.09,4.2,81.42,50,3.4,20,No,80.58,HIGH
918541,Divit Ravel,Finance,Accountant,80,93.92,96.33,4.0,79.26,35,5.0,24,No,88.44,HIGH
337244,Ela Gole,Sales,Sales Executive,89,68.59,93.37,3.6,88.01,42,4.0,29,No,82.34,HIGH
346485,Dhruv Bali,IT,Data Analyst,78,64.88,75.76,4.0,82.66,36,4.1,25,No,78.84,HIGH
568048,Jivin Lanka,HR,Employee Relations,87,72.71,91.81,3.2,70.53,37,4.3,18,Yes,76.79,HIGH
689881,Lavanya Sengupta,Sales,Business Development,69,68.51,99.85,4.0,82.67,49,4.8,23,No,86.82,HIGH
920549,Vidur Vala,Marketing,Marketing Executive,63,72.34,91.38,3.3,92.85,40,4.5,10,No,84.56,HIGH
684377,Anahita Wadhwa,HR,Employee Relations,68,88.79,98.65,4.8,82.72,36,4.9,30,No,92.23,HIGH
809194,Advika Grewal,Finance,Financial Analyst,60,74.86,80.45,3.9,81.33,46,3.7,29,No,78.38,HIGH
373287,Ojas Halder,Finance,Accountant,61,66.01,93.02,4.3,93.13,48,3.8,10,No,85.54,HIGH
348494,Suhana Deep,Marketing,Content Strategist,82,91.11,87.16,4.9,97.63,39,4.3,3,No,92.63,HIGH
991106,Hazel Subramanian,HR,Employee Relations,77,83.47,77.45,3.5,95.55,51,4.4,15,No,84.1,HIGH
434736,Mishti Gaba,Marketing,SEO Specialist,59,62.49,78.74,3.5,89.19,35,4.9,4,No,82.35,HIGH
300291,Dhanush Shukla,Finance,Auditor,87,82.84,83.2,4.3,75.63,49,4.4,10,Yes,82.41,HIGH
930682,Veer Bhasin,Sales,Business Development,88,63.61,84.95,4.9,89.8,41,4.5,28,Yes,87.89,HIGH
872547,Lakshit Rout,Finance,Financial Analyst,63,89.11,82.6,4.9,96.99,45,4.6,5,No,92.53,HIGH
137227,Kashvi Chana,Sales,Sales Executive,80,73.94,83.52,4.2,85.29,43,3.7,4,No,81.29,HIGH
492346,Samarth Varughese,HR,Recruitment Specialist,91,84.47,89.53,4.5,86.93,44,4.7,11,Yes,89.23,HIGH
104894,Arhaan Raman,Marketing,Marketing Executive,82,85.32,84.22,4.3,98.69,55,3.6,23,No,86.58,HIGH
574980,Eshani Soman,IT,Data Analyst,76,72.37,80.74,3.7,96.2,53,4.2,0,No,83.84,HIGH
938510,Nakul Madan,HR,HR Manager,83,61.97,93.79,4.2,86.91,53,3.0,26,No,79.83,HIGH
914691,Aradhya Handa,Sales,Business Development,94,70.22,81.05,4.1,98.95,41,3.3,16,No,82.52,HIGH
959287,Mishti Sarin,HR,Employee Relations,55,61.91,96.05,3.5,95.43,52,4.1,6,No,84.43,HIGH
657468,Zoya Som,HR,Employee Relations,70,64.93,99.55,4.9,74.63,37,3.8,4,No,83.59,HIGH
251209,Mannat Bakshi,Finance,Financial Analyst,57,64.03,83.62,3.6,73.33,52,3.7,29,No,74.33,MEDIUM
627672,Keya Butala,Finance,Accountant,68,69.35,81.57,4.6,93.75,45,4.9,14,No,89.37,HIGH
283291,Alia Sawhney,IT,Data Analyst,64,66.32,93.61,4.5,70.27,52,4.4,2,No,82.04,HIGH
366737,Vritika Khalsa,Marketing,Content Strategist,96,71.52,80.62,4.1,83.72,37,3.2,30,No,77.59,HIGH
722297,Neelofar Keer,Sales,Account Manager,87,93.59,76.5,4.0,86.67,50,4.0,29,No,82.66,HIGH
814101,Divyansh Kaur,Marketing,SEO Specialist,85,70.61,78.81,4.7,92.78,51,3.6,10,No,83.86,HIGH
381345,Abram Mane,Finance,Accountant,73,92.29,93.66,3.9,81.26,38,3.8,27,No,83.14,HIGH
295113,Gatik Guha,Marketing,Content Strategist,86,62.94,86.0,4.1,93.43,52,4.9,8,Yes,87.52,HIGH
414900,Dharmajan Kalita,HR,Recruitment Specialist,96,69.58,92.53,4.9,93.79,41,4.6,2,Yes,91.6,HIGH
933548,Riya Dani,Marketing,Marketing Executive,74,94.91,91.43,4.7,73.81,54,4.0,9,No,84.72,HIGH
218595,Nitara Sarma,Marketing,Marketing Executive,84,91.62,85.68,4.4,78.13,48,4.0,29,No,83.34,HIGH
384248,Kimaya Ghosh,IT,Software Engineer,89,61.94,82.49,3.2,95.06,44,3.5,16,No,78.01,HIGH
501422,Purab Bhargava,Finance,Auditor,86,78.38,92.79,4.1,76.69,46,4.4,16,Yes,83.4,HIGH
403338,Manikya Wable,Sales,Account Manager,55,74.28,95.73,4.4,76.67,49,3.9,3,No,82.78,HIGH
850100,Adah Solanki,Finance,Accountant,73,92.89,91.11,4.2,96.42,38,4.8,29,No,92.44,HIGH
522109,Purab Chhabra,Sales,Business Development,66,87.5,83.23,3.3,99.73,36,4.0,10,No,84.51,HIGH
709198,Samar Raju,Finance,Accountant,99,62.15,97.44,3.1,73.27,46,4.2,4,Yes,76.88,HIGH
829551,Ojas Kannan,Sales,Sales Executive,79,90.67,99.21,5.0,96.12,49,4.8,0,No,96.94,HIGH
480394,Sara Vala,HR,Employee Relations,80,75.41,84.97,4.7,71.11,41,3.9,18,No,80.27,HIGH
941122,Hrishita Bala,Finance,Financial Analyst,71,68.2,95.9,4.5,72.63,49,3.1,26,No,78.19,HIGH
296812,Inaaya  Kurian,Sales,Business Development,57,73.85,95.95,4.1,73.03,55,4.1,7,No,81.28,HIGH
706124,Akarsh De,Finance,Accountant,77,85.94,96.56,4.6,77.14,50,4.1,10,No,85.85,HIGH
297819,Jivika Sant,Finance,Accountant,75,93.96,95.16,3.2,72.88,45,3.5,14,No,77.09,HIGH
165053,Ivana Viswanathan,HR,HR Manager,95,87.78,98.1,4.2,91.24,45,3.9,6,No,88.17,HIGH
398012,Adah Sarraf,Marketing,Content Strategist,98,77.83,90.06,3.8,70.22,41,4.9,18,Yes,81.66,HIGH
555457,Veer Kumar,IT,Cybersecurity Specialist,59,70.8,92.99,4.9,95.76,37,4.4,28,No,91.61,HIGH
177315,Aayush Kibe,HR,HR Manager,91,88.79,99.39,4.0,88.02,47,5.0,1,Yes,91.16,HIGH
401685,Miraya Dayal,Sales,Account Manager,60,71.84,99.47,3.7,76.83,50,4.4,1,No,82.53,HIGH
363762,Stuvan Verma,HR,HR Manager,91,62.38,92.08,3.1,93.77,42,4.7,23,Yes,83.98,HIGH
488108,Vihaan Varghese,HR,Employee Relations,86,75.24,89.7,3.9,94.16,37,4.5,8,Yes,87.31,HIGH
399562,Lagan Bajwa,Sales,Sales Executive,72,74.95,86.63,3.0,88.1,50,3.3,22,No,76.45,HIGH
808996,Aradhya Chaudhuri,HR,Employee Relations,77,73.91,90.22,3.6,77.5,37,4.4,12,No,80.68,HIGH
402302,Divit Rajagopal,Marketing,SEO Specialist,66,84.67,79.1,3.8,71.76,43,3.8,6,No,76.22,HIGH
879751,Alia Balasubramanian,Sales,Business Development,67,84.77,98.68,3.3,93.06,37,4.4,24,No,86.93,HIGH
308048,Dhruv Babu,HR,Recruitment Specialist,91,90.55,79.89,4.4,84.26,40,4.5,24,Yes,85.91,HIGH
786418,Aayush Dar,IT,Cybersecurity Specialist,70,70.15,81.4,4.3,71.92,48,3.1,15,No,74.47,MEDIUM
882537,Nayantara Edwin,Finance,Financial Analyst,74,84.51,82.61,3.7,99.65,38,4.0,18,No,85.67,HIGH
235703,Rasha Kothari,IT,Software Engineer,77,92.74,82.77,5.0,94.58,55,3.7,28,No,89.0,HIGH
859541,Mohanlal Kunda,Sales,Account Manager,67,71.01,80.16,3.0,79.62,51,3.1,8,No,71.42,MEDIUM
197224,Misha Bhargava,HR,HR Manager,70,61.26,99.12,3.7,94.03,51,3.9,0,No,84.56,HIGH
511364,Ishita Varma,Sales,Business Development,55,65.55,85.32,4.4,83.68,53,4.2,6,No,83.12,HIGH
118799,Amani Gill,Finance,Accountant,98,86.44,97.96,4.4,70.79,36,3.4,28,No,80.67,HIGH
674778,Nayantara Bir,Sales,Account Manager,55,92.89,83.0,4.2,77.92,54,3.3,23,No,79.26,HIGH
418635,Rhea Gole,IT,Software Engineer,70,61.26,85.76,3.9,80.92,41,4.2,4,No,79.95,HIGH
936670,Krish Bali,IT,Data Analyst,52,86.9,88.68,4.1,88.65,48,3.5,10,No,83.42,HIGH
726742,Nitya Mangal,IT,Software Engineer,92,72.41,77.62,3.3,92.52,41,3.8,10,No,78.92,HIGH
936736,Hrishita Tank,Finance,Accountant,62,65.11,88.21,4.3,75.91,52,4.6,0,No,82.53,HIGH
581644,Ivana Chandra,Sales,Sales Executive,56,76.23,98.59,4.9,76.37,51,5.0,28,No,89.85,HIGH
510131,Ishaan Biswas,Marketing,Marketing Executive,52,66.53,90.69,4.2,90.86,48,4.8,15,No,88.05,HIGH
294626,Miraan Bali,Finance,Accountant,93,78.19,90.77,3.7,76.85,48,4.7,15,Yes,82.63,HIGH
573387,Taran Jha,IT,Cybersecurity Specialist,88,61.65,79.11,4.8,70.84,48,4.4,10,Yes,80.04,HIGH
784768,Anika Salvi,Marketing,Marketing Executive,74,84.7,83.71,3.9,90.73,35,4.4,18,No,85.63,HIGH
134108,Kaira Sanghvi,Finance,Auditor,96,78.7,79.53,4.9,81.63,39,4.4,10,Yes,85.47,HIGH
174649,Chirag Vasa,Sales,Sales Executive,83,74.01,81.97,3.4,86.9,38,3.5,8,No,77.46,HIGH
689338,Pihu Chaudhuri,IT,Software Engineer,65,81.27,92.81,4.4,82.43,46,4.7,17,No,87.82,HIGH
523061,Anika Sarna,Sales,Sales Executive,86,91.18,76.6,4.2,79.81,38,5.0,1,Yes,85.18,HIGH
901936,Anaya Sodhi,Marketing,Content Strategist,68,92.45,91.79,3.9,78.59,48,3.4,13,No,80.38,HIGH
300537,Gatik Chakrabarti,Finance,Financial Analyst,74,82.98,99.96,3.8,97.7,54,3.3,4,No,86.0,HIGH
569817,Saira Dara,HR,HR Manager,68,87.95,78.03,4.5,73.83,40,4.6,29,No,82.95,HIGH
489553,Amira Kumer,IT,Data Analyst,83,62.79,96.12,4.0,76.85,40,4.6,12,No,82.96,HIGH
995986,Shalv Buch,Finance,Financial Analyst,78,60.26,85.88,3.6,94.01,36,4.9,0,No,85.4,HIGH
370437,Amira Barad,HR,Recruitment Specialist,69,74.55,84.15,4.0,73.53,50,3.4,22,No,75.94,HIGH
641341,Vaibhav Ram,HR,Employee Relations,61,70.9,93.47,3.4,95.23,46,4.9,27,No,87.55,HIGH
686344,Dhanush Dutta,IT,Cybersecurity Specialist,100,93.21,97.8,3.9,81.52,46,4.4,16,Yes,86.54,HIGH
476946,Aayush Johal,HR,HR Manager,74,66.95,98.45,3.5,73.94,44,4.8,21,No,81.77,HIGH
642417,Farhan Agarwal,Sales,Sales Executive,55,70.8,77.84,4.8,87.54,48,4.5,28,No,86.11,HIGH
455338,Ira Mani,Finance,Accountant,58,65.24,81.69,3.8,79.55,46,4.5,21,No,79.93,HIGH
492243,Bhavin Gandhi,Sales,Sales Executive,59,93.0,86.3,3.8,80.47,55,3.7,4,No,80.7,HIGH
135842,Anahi Sehgal,Finance,Accountant,50,78.98,88.34,4.9,96.02,49,3.3,15,No,87.17,HIGH
356703,Anvi Johal,IT,Software Engineer,88,62.02,82.73,4.5,83.98,39,4.6,2,Yes,84.34,HIGH
118920,Vedika Dara,HR,Recruitment Specialist,77,85.98,77.34,5.0,91.68,46,4.0,0,No,87.57,HIGH
105561,Tara Bal,Finance,Auditor,76,75.39,94.04,4.2,75.46,51,3.1,19,No,78.18,HIGH
425760,Navya Solanki,HR,Recruitment Specialist,68,80.11,86.73,3.9,90.48,41,4.8,5,No,87.3,HIGH
397069,Hansh Lanka,Finance,Auditor,100,80.29,94.48,3.9,93.66,55,4.3,22,Yes,87.82,HIGH
150406,Ojas Issac,Sales,Account Manager,53,82.4,89.21,3.3,93.84,54,4.2,7,No,84.23,HIGH
774763,Jhanvi Mahal,Sales,Sales Executive,87,75.97,83.78,3.1,87.26,46,3.7,9,No,77.73,HIGH
714313,Neelofar Cheema,Finance,Accountant,84,61.43,96.86,3.1,75.16,37,4.4,5,No,78.06,HIGH
991564,Umang Bath,Finance,Auditor,81,91.37,89.07,4.0,89.4,48,3.9,20,No,85.37,HIGH
274295,Chirag Jhaveri,IT,Cybersecurity Specialist,76,76.35,85.76,4.8,85.23,43,4.5,1,No,87.56,HIGH
439231,Rasha Buch,HR,Employee Relations,77,73.63,86.19,3.9,78.49,37,3.6,16,No,78.15,HIGH
869777,Nishith Dara,IT,Cybersecurity Specialist,52,84.92,81.84,4.3,84.0,46,4.3,7,No,84.46,HIGH
645354,Bhavin Singhal,Marketing,Marketing Executive,70,75.89,84.86,3.9,97.51,51,3.4,11,No,83.01,HIGH
441767,Pihu Soman,HR,HR Manager,84,87.54,80.8,4.5,89.24,47,3.7,6,No,84.49,HIGH
139995,Elakshi Sant,IT,Data Analyst,78,68.09,76.99,3.2,77.48,43,4.4,8,No,75.85,HIGH
154629,Ahana  Kanda,Sales,Business Development,50,76.79,95.84,4.8,89.64,53,3.5,9,No,86.94,HIGH
518607,Jayesh Bala,HR,Employee Relations,72,70.47,84.32,4.7,98.73,51,3.7,28,No,87.13,HIGH
228875,Ela Ghose,Sales,Sales Executive,50,79.26,92.74,4.2,99.48,37,4.9,3,No,92.72,HIGH
440728,Hansh Badal,Finance,Accountant,91,74.97,82.44,4.9,82.18,44,3.1,3,No,80.64,HIGH
814503,Mehul Maharaj,Marketing,Content Strategist,100,74.32,95.0,4.2,76.51,55,4.0,1,No,82.19,HIGH
207810,Ayesha Dugal,Marketing,Content Strategist,74,70.93,81.05,3.5,92.34,50,3.7,1,No,79.81,HIGH
671113,Vaibhav Banik,IT,Data Analyst,57,86.05,87.22,3.3,73.3,53,3.9,27,No,76.84,HIGH
322000,Mamooty Kalita,Sales,Business Development,82,65.11,93.76,4.1,94.66,55,4.9,14,No,89.66,HIGH
939507,Ahana  Kapadia,IT,Cybersecurity Specialist,75,87.45,87.0,3.9,98.72,38,4.0,30,No,87.36,HIGH
851852,Charvi Goyal,HR,Recruitment Specialist,55,91.12,99.86,3.9,86.13,38,3.4,25,No,84.12,HIGH
708380,Aarush Rau,HR,HR Manager,58,74.11,92.12,4.7,85.23,49,3.5,11,No,84.2,HIGH
